halo_id,rvmax
000,-1.4285715
001,-1.4285715
002,-1.4285715
003,-1.4285715
004,-1.4285715
005,-1.4285715
006,-1.4285715
007,-1.4285715
008,-1.4285715
009,-1.4285715
010,-1.4285715
011,-1.4285715
012,-1.4285715
013,-1.4285715
014,-1.4285715
015,-1.4285715
016,-1.4285715
017,-1.4285715
018,-1.4285715
019,-1.4285715
020,-1.4285715
021,-1.4285715
022,-1.4285715
023,-1.4285715
024,-1.4285715
025,-1.4285715
026,-1.4285715
027,-1.4285715
028,-1.4285715
029,-1.4285715
030,-1.4285715
031,-1.4285715
032,-1.4285715
033,-1.4285715
034,-1.4285715
035,-1.4285715
036,-1.4285715
037,-1.4285715
038,-1.4285715
039,-1.4285715
040,-1.4285715
041,-1.4285715
042,-1.4285715
043,-1.4285715
044,-1.4285715
045,-1.4285715
046,-1.4285715
047,-1.4285715
048,-1.4285715
049,-1.4285715
050,-1.4285715
051,-1.4285715
052,-1.4285715
053,-1.4285715
054,-1.4285715
055,-1.4285715
056,-1.4285715
057,-1.4285715
058,-1.4285715
059,-1.4285715
060,-1.4285715
061,-1.4285715
062,-1.4285715
063,-1.4285715
064,-1.4285715
065,-1.4285715
066,-1.4285715
067,-1.4285715
068,-1.4285715
069,-1.4285715
070,-1.4285715
071,-1.4285715
072,-1.4285715
073,-1.4285715
074,-1.4285715
075,-1.4285715
076,-1.4285715
077,-1.4285715
078,-1.4285715
079,-1.4285715
080,-1.4285715
